Platform,Package Name,Client Version,Latest Stable Version,Is on N-1 version,N-1 Version,N-1 Vulnerabilities,N-2 Version,N-2 Vulnerabilities,N-3 Version,N-3 Vulnerabilities
npm,electron,30.0.6,32.1.2,No,32.1.1,No violations,32.1.0,No violations,32.0.2,No violations
npm,fd-slicer,1.1.0,1.1.0,No,1.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.4.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,electron-progressbar,2.2.1,2.2.1,No,2.2.0,No violations,2.1.0,No violations,2.0.1,No violations
npm,isbinaryfile,5.0.2,5.0.2,No,5.0.1,No violations,5.0.0,No violations,4.0.10,No violations
npm,ajv,8.16.0,8.17.1,Yes,8.16.0,No violations,8.15.0,No violations,8.14.0,No violations
npm,@develar/schema-utils,2.6.5,2.6.5,No,2.1.0,No violations,,,,
npm,uri-js,4.4.1,4.4.1,No,4.4.0,a Appear maintained violation is present - Standard: packages_appear_maintained,4.3.0,a Appear maintained violation is present - Standard: packages_appear_maintained,4.2.2,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,is-fullwidth-code-point,4.0.0,5.0.0,Yes,4.0.0,No violations,3.0.0,No violations,2.0.0,release npm/is-fullwidth-code-point 2.0.0 is older than the maintenance standard allows - Standard: up_to_date
npm,commander,12.1.0,12.1.0,No,12.0.0,No violations,12.0.0-1,release npm/commander 12.0.0-1 is a prerelease - Standard: prereleases,12.0.0-0,release npm/commander 12.0.0-0 is a prerelease - Standard: prereleases
npm,@szmarczak/http-timer,4.0.6,5.0.1,No,5.0.0,No violations,4.0.6,a Appear maintained violation is present - Standard: packages_appear_maintained,4.0.5,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,7zip-bin,5.2.0,5.2.0,No,5.1.1,No violations,5.1.0,No violations,5.0.3,No violations
npm,gaze,1.1.3,1.1.3,No,1.1.2,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.1,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,karma-detect-browsers,2.3.2,2.3.3,Yes,2.3.2,No violations,2.3.1,No violations,2.3.0,No violations
npm,fs-extra,9.1.0,11.2.0,No,11.1.1,No violations,11.1.0,No violations,11.0.0,No violations
npm,browserslist,4.22.1,4.24.0,No,4.23.3,No violations,4.23.2,No violations,4.23.1,No violations
npm,wordwrap,1.0.0,1.0.0,No,0.0.3,a Appear maintained violation is present - Standard: packages_appear_maintained,0.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,0.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,@rollup/plugin-replace,2.4.2,6.0.1,No,6.0.0,No violations,5.0.7,No violations,5.0.6,No violations
npm,@types/ws,8.5.3,8.5.12,No,8.5.11,No violations,8.5.10,No violations,8.5.9,No violations
npm,confusing-browser-globals,1.0.11,2.0.0-next.2150693d,No,2.0.0-next.096703ab,release npm/confusing-browser-globals 2.0.0-next.096703ab is a prerelease - Standard: prereleases,2.0.0-next.9754a231,release npm/confusing-browser-globals 2.0.0-next.9754a231 is a prerelease - Standard: prereleases,2.0.0-next.03604a46,release npm/confusing-browser-globals 2.0.0-next.03604a46 is a prerelease - Standard: prereleases
npm,@types/eslint-scope,3.7.4,3.7.7,No,3.7.6,No violations,3.7.5,No violations,3.7.4,No violations
npm,@types/serve-index,1.9.1,1.9.4,No,1.9.3,No violations,1.9.2,No violations,1.9.1,No violations
npm,es-shim-unscopables,1.0.0,1.0.2,No,1.0.1,No violations,1.0.0,No violations,,
npm,@jest/schemas,28.1.3,29.6.3,No,29.6.0,No violations,29.4.3,No violations,29.4.2,No violations
npm,webpack,5.75.0,5.95.0,No,5.94.0,No violations,5.93.0,vulnerability CVE-2024-43788 with severity 6.4 is present - Standard: vulnerabilities,5.92.1,vulnerability CVE-2024-43788 with severity 6.4 is present - Standard: vulnerabilities
npm,functions-have-names,1.2.3,1.2.3,No,1.2.2,No violations,1.2.1,No violations,1.2.0,No violations
npm,@types/prop-types,15.7.5,15.7.13,No,15.7.12,No violations,15.7.11,No violations,15.7.10,No violations
npm,@svgr/babel-plugin-svg-dynamic-title,5.4.0,8.0.0,No,7.0.0,No violations,6.5.1,No violations,6.5.0,No violations
npm,core-util-is,1.0.3,1.0.3,No,1.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.1,release npm/core-util-is 1.0.1 is older than the maintenance standard allows - Standard: up_to_date; a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,release npm/core-util-is 1.0.0 is older than the maintenance standard allows - Standard: up_to_date; a Appear maintained violation is present - Standard: packages_appear_maintained
npm,deepmerge,4.2.2,4.3.1,No,4.3.0,a Appear maintained violation is present - Standard: packages_appear_maintained,4.2.2,a Appear maintained violation is present - Standard: packages_appear_maintained,4.2.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,minimatch,5.1.1,10.0.1,No,10.0.0,No violations,9.0.5,No violations,9.0.4,No violations
npm,w3c-hr-time,1.0.2,1.0.2,No,1.0.1,package npm/w3c-hr-time was deprecated - Standard: deprecation; package npm/w3c-hr-time has reached its end-of-life - Standard: eol_packages; a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,package npm/w3c-hr-time was deprecated - Standard: deprecation; package npm/w3c-hr-time has reached its end-of-life - Standard: eol_packages; a Appear maintained violation is present - Standard: packages_appear_maintained,,
npm,http-proxy-middleware,2.0.6,3.0.2,No,3.0.1,No violations,3.0.0,No violations,2.0.6,No violations
npm,htmlparser2,6.1.0,9.1.0,No,9.0.0,No violations,8.0.2,No violations,8.0.1,No violations
npm,@babel/plugin-transform-object-super,7.18.6,7.24.7,No,7.24.6,No violations,7.24.1,No violations,7.23.3,No violations
npm,crypto-random-string,2.0.0,5.0.0,No,4.0.0,No violations,3.3.1,No violations,3.3.0,No violations
npm,jsx-ast-utils,3.3.3,3.3.5,No,3.3.4,No violations,3.3.3,No violations,3.3.2,No violations
npm,workbox-recipes,6.5.4,7.1.0,No,7.0.0,No violations,6.6.1,No violations,6.6.0,No violations
npm,postcss-discard-duplicates,5.1.0,7.0.1,No,7.0.0,No violations,6.0.3,No violations,6.0.2,No violations
npm,estree-walker,1.0.1,3.0.3,No,3.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,cookie,0.5.0,0.6.0,Yes,0.5.0,No violations,0.4.2,No violations,0.4.1,No violations
npm,detective,5.2.1,5.2.1,No,5.2.0,No violations,5.1.0,No violations,5.0.2,No violations
npm,@babel/helper-explode-assignable-expression,7.18.6,7.21.4-esm.4,No,7.21.4-esm.3,No violations,7.21.4-esm.2,No violations,7.21.4-esm.1,No violations
npm,jest-serializer,27.5.1,28.0.0,Yes,27.5.1,package npm/jest-serializer was deprecated - Standard: deprecation,27.5.0,package npm/jest-serializer was deprecated - Standard: deprecation,27.4.0,package npm/jest-serializer was deprecated - Standard: deprecation
npm,whatwg-url,8.7.0,14.0.0,No,13.0.0,No violations,12.0.1,No violations,12.0.0,No violations
npm,cssnano,5.1.14,7.0.6,No,7.0.5,No violations,7.0.4,No violations,7.0.3,No violations
npm,stylehacks,5.1.1,7.0.4,No,7.0.3,No violations,7.0.2,No violations,7.0.1,No violations
npm,html-webpack-plugin,5.5.0,5.6.0,No,5.5.4,No violations,5.5.3,No violations,5.5.2,No violations
npm,forwarded,0.2.0,0.2.0,No,0.1.2,No violations,0.1.1,vulnerability CVE-2017-16118 with severity 7.5 is present - Standard: vulnerabilities,0.1.0,vulnerability CVE-2017-16118 with severity 7.5 is present - Standard: vulnerabilities
npm,jest-validate,27.5.1,29.7.0,No,29.6.3,No violations,29.6.2,No violations,29.6.1,No violations
npm,w3c-xmlserializer,2.0.0,5.0.0,No,4.0.0,No violations,3.0.0,No violations,2.0.0,No violations
npm,json-schema,0.4.0,0.4.0,No,0.3.0,vulnerability CVE-2021-3918 with severity 9.8 is present - Standard: vulnerabilities; a Appear maintained violation is present - Standard: packages_appear_maintained,0.2.5,vulnerability CVE-2021-3918 with severity 9.8 is present - Standard: vulnerabilities; a Appear maintained violation is present - Standard: packages_appear_maintained,0.2.4,vulnerability CVE-2021-3918 with severity 9.8 is present - Standard: vulnerabilities; a Appear maintained violation is present - Standard: packages_appear_maintained
npm,supports-color,8.1.1,9.4.0,No,9.3.1,No violations,9.3.0,No violations,9.2.3,No violations
npm,@babel/helper-compilation-targets,7.20.0,7.25.2,No,7.24.8,No violations,7.24.7,No violations,7.24.6,No violations
npm,@svgr/babel-plugin-remove-jsx-empty-expression,5.0.1,8.0.0,No,7.0.0,No violations,6.5.0,No violations,6.3.1,No violations
npm,css-prefers-color-scheme,6.0.3,10.0.0,No,9.0.1,No violations,9.0.0,No violations,8.0.2,No violations
pypi,tenacity,8.3.0,9.0.0,No,8.5.0,No violations,8.4.2,No violations,8.4.1,No violations
pypi,h11,0.14.0,0.14.0,No,0.13.0,No violations,0.12.0,No violations,0.11.0,No violations
pypi,opentelemetry-exporter-otlp-proto-common,1.25.0,1.27.0,No,1.26.0,No violations,1.25.0,No violations,1.24.0,No violations
npm,@babel/plugin-transform-nullish-coalescing-operator,7.22.11,7.24.7,No,7.24.6,No violations,7.24.1,No violations,7.23.4,No violations
pypi,posthog,2.4.0,3.6.6,No,3.6.5,release pypi/posthog 3.6.5's dependencies have violations - Standard: releases_have_clean_dependencies,3.6.4,release pypi/posthog 3.6.4's dependencies have violations - Standard: releases_have_clean_dependencies,3.6.3,release pypi/posthog 3.6.3's dependencies have violations - Standard: releases_have_clean_dependencies
npm,is-glob,4.0.3,4.0.3,No,4.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,4.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,4.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,jsesc,2.5.1,3.0.2,No,3.0.1,No violations,3.0.0,No violations,2.5.2,No violations
npm,@jridgewell/gen-mapping,0.1.1,0.3.5,No,0.3.4,No violations,0.3.3,No violations,0.3.2,No violations
rubygems,openapi_parser,0.15.0,2.1.0,No,2.0.0,No violations,1.0.0,No violations,0.15.0,No violations
npm,neo-async,2.6.1,2.6.2,Yes,2.6.1,No violations,2.6.0,No violations,2.5.2,No violations
npm,regenerate-unicode-properties,10.1.1,10.2.0,Yes,10.1.1,No violations,10.1.0,No violations,10.0.1,No violations
npm,engine.io-parser,5.0.3,5.2.3,No,5.2.2,No violations,5.2.1,No violations,5.2.0,No violations
npm,@babel/plugin-transform-for-of,7.22.15,7.24.7,No,7.24.6,No violations,7.24.1,No violations,7.23.6,No violations
npm,@babel/plugin-syntax-export-namespace-from,7.8.3,7.8.3,No,7.8.0,No violations,7.7.4,No violations,7.2.0,No violations
npm,p-try,2.2.0,3.0.0,Yes,2.2.0,No violations,2.1.0,No violations,2.0.0,No violations
npm,ms,2.0.0,3.0.0-canary.1,No,3.0.0-canary.0,No violations,2.1.3,No violations,2.1.2,No violations
npm,on-finished,2.3.0,2.4.1,No,2.4.0,No violations,2.3.0,No violations,2.2.1,No violations
npm,bundlesize,0.18.2,0.18.2,No,0.18.1,No violations,0.18.0,No violations,0.17.2,No violations
npm,@babel/plugin-transform-modules-systemjs,7.23.0,7.25.0,No,7.24.7,No violations,7.24.6,No violations,7.24.1,No violations
npm,snapdragon-util,3.0.1,5.0.1,No,5.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,4.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,cache-base,1.0.1,4.0.2,No,4.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,chownr,1.1.4,3.0.0,No,2.0.0,No violations,1.1.4,No violations,1.1.3,No violations
npm,@babel/core,7.20.7,7.25.2,No,7.24.9,No violations,7.24.8,No violations,7.24.7,No violations
npm,electron-to-chromium,1.4.554,1.5.30,No,1.5.29,No violations,1.5.28,No violations,1.5.27,No violations
npm,lodash,4.17.21,4.17.21,No,4.17.20,vulnerability CVE-2020-28500 with severity 5.3 is present - Standard: vulnerabilities; vulnerability CVE-2021-23337 with severity 7.2 is present - Standard: vulnerabilities,4.17.19,vulnerability CVE-2020-28500 with severity 5.3 is present - Standard: vulnerabilities; vulnerability CVE-2021-23337 with severity 7.2 is present - Standard: vulnerabilities; vulnerability CVE-2020-8203 with severity 7.4 is present - Standard: vulnerabilities,4.17.18,vulnerability CVE-2020-28500 with severity 5.3 is present - Standard: vulnerabilities; vulnerability CVE-2021-23337 with severity 7.2 is present - Standard: vulnerabilities; vulnerability CVE-2020-8203 with severity 7.4 is present - Standard: vulnerabilities
npm,pseudomap,1.0.2,1.0.2,No,1.0.1,No violations,1.0.0,No violations,,
npm,vinyl-sourcemaps-apply,0.2.1,0.2.1,No,0.2.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.1.4,a Appear maintained violation is present - Standard: packages_appear_maintained,0.1.3,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,safe-buffer,5.1.2,5.2.1,No,5.2.0,No violations,5.1.2,No violations,5.1.1,No violations
npm,agentkeepalive,4.2.1,4.5.0,No,4.4.0,No violations,4.3.0,No violations,4.2.1,No violations
npm,@babel/plugin-syntax-class-properties,7.12.13,7.12.13,No,7.12.1,No violations,7.10.4,No violations,7.10.1,No violations
npm,p-limit,1.3.0,6.1.0,No,6.0.0,No violations,5.0.0,No violations,4.0.0,No violations
npm,cssesc,1.0.1,3.0.0,No,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,fs-extra,10.0.1,11.2.0,No,11.1.1,No violations,11.1.0,No violations,11.0.0,No violations
npm,http-errors,1.8.1,2.0.0,Yes,1.8.1,No violations,1.8.0,No violations,1.7.3,No violations
npm,normalize-package-data,2.5.0,6.0.2,No,6.0.1,No violations,6.0.0,No violations,5.0.0,No violations
npm,lodash.templatesettings,4.1.0,4.2.0,Yes,4.1.0,No violations,4.0.1,No violations,4.0.0,No violations
npm,unique-string,1.0.0,3.0.0,No,2.0.0,No violations,1.0.0,No violations,,
npm,@babel/helper-split-export-declaration,7.22.6,7.24.7,No,7.24.6,No violations,7.24.5,No violations,7.22.6,No violations
npm,js-base64,2.6.4,3.7.7,No,3.7.6,No violations,3.7.5,No violations,3.7.4,No violations
npm,cross-spawn,5.1.0,7.0.3,No,7.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,7.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,7.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,has-flag,4.0.0,5.0.1,No,5.0.0,No violations,4.0.0,No violations,3.0.0,No violations
npm,@babel/helper-string-parser,7.22.5,7.24.8,No,7.24.7,No violations,7.24.6,No violations,7.24.1,No violations
npm,strip-ansi,3.0.1,7.1.0,No,7.0.1,No violations,7.0.0,No violations,6.0.1,No violations
npm,caniuse-lite,1.0.30000864,1.0.30001664,No,1.0.30001663,No violations,1.0.30001662,No violations,1.0.30001660,No violations
npm,json-parse-even-better-errors,2.3.1,4.0.0,No,3.0.2,No violations,3.0.1,No violations,3.0.0,No violations
npm,write-file-atomic,5.0.1,6.0.0,Yes,5.0.1,No violations,5.0.0,No violations,4.0.2,No violations
npm,walk-sync,0.3.2,3.0.0,No,2.2.0,No violations,2.1.0,No violations,2.0.2,No violations
npm,resolve-from,4.0.0,5.0.0,Yes,4.0.0,No violations,3.0.0,No violations,2.0.0,No violations
npm,color-name,1.1.1,2.0.0,No,1.1.4,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.3,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.2,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,tough-cookie,2.3.4,5.0.0,No,5.0.0-rc.4,release npm/tough-cookie 5.0.0-rc.4 is a prerelease - Standard: prereleases,5.0.0-rc.3,release npm/tough-cookie 5.0.0-rc.3 is a prerelease - Standard: prereleases,5.0.0-rc.2,release npm/tough-cookie 5.0.0-rc.2 is a prerelease - Standard: prereleases
rubygems,jsonapi-renderer,0.2.2,0.2.2,No,0.2.1,a Appear maintained violation is present - Standard: packages_appear_maintained,0.2.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.1.3,a Appear maintained violation is present - Standard: packages_appear_maintained
rubygems,sidekiq,7.2.2,7.3.2,No,7.3.1,No violations,7.3.0,No violations,7.2.4,No violations
rubygems,aws-sigv4,1.4.0,1.10.0,No,1.9.1,No violations,1.9.0,No violations,1.8.0,No violations
rubygems,activestorage,7.1.3.4,7.2.1,No,7.2.0,No violations,7.2.0.rc1,release rubygems/activestorage 7.2.0.rc1 is a prerelease - Standard: prereleases,7.1.4,No violations
rubygems,redis-client,0.22.1,0.22.2,Yes,0.22.1,No violations,0.22.0,No violations,0.21.1,No violations
rubygems,hamster,3.0.0,3.0.0,No,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.1.pre.rc3,release rubygems/hamster 1.0.1.pre.rc3 is a prerelease - Standard: prereleases; a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.1.pre.rc2,release rubygems/hamster 1.0.1.pre.rc2 is a prerelease - Standard: prereleases; a Appear maintained violation is present - Standard: packages_appear_maintained
rubygems,kaminari-core,1.2.2,1.2.2,No,1.2.1,No violations,1.2.0,No violations,1.1.1,No violations
rubygems,aws-partitions,1.542.0,1.981.0,No,1.980.0,No violations,1.979.0,No violations,1.978.0,No violations
rubygems,solargraph-rails,1.1.0,1.1.0,No,1.0.1,No violations,1.0.0.pre.1,No violations,0.3.1,No violations
rubygems,msgpack,1.7.2,1.7.2,No,1.7.1,No violations,1.7.0,No violations,1.6.1,No violations
rubygems,coverband,5.2.5,6.1.2,No,6.1.2.rc.1,release rubygems/coverband 6.1.2.rc.1 is a prerelease - Standard: prereleases,6.1.1,No violations,6.1.0,No violations
npm,electron-store,9.0.0,10.0.0,Yes,9.0.0,No violations,8.2.0,No violations,8.1.0,No violations
npm,define-data-property,1.1.4,1.1.4,No,1.1.3,No violations,1.1.2,No violations,1.1.1,No violations
npm,type-fest,0.13.1,4.26.1,No,4.26.0,No violations,4.25.0,No violations,4.24.0,No violations
npm,bytes,3.0.0,3.1.2,No,3.1.1,a Appear maintained violation is present - Standard: packages_appear_maintained,3.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,semver,7.6.2,7.6.3,Yes,7.6.2,No violations,7.6.1,No violations,7.6.0,No violations
npm,sprintf-js,1.1.3,1.1.3,No,1.1.2,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.1,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,has-proto,1.0.3,1.0.3,No,1.0.2,No violations,1.0.1,No violations,1.0.0,No violations
npm,readable-stream,1.0.34,4.5.2,No,4.5.1,No violations,4.5.0,No violations,4.4.2,No violations
npm,os-name,1.0.3,6.0.0,No,5.1.0,No violations,5.0.1,No violations,5.0.0,No violations
npm,minizlib,2.1.2,3.0.1,No,3.0.0,No violations,2.1.2,No violations,2.1.1,No violations
npm,js-tokens,3.0.2,9.0.0,No,8.0.3,No violations,8.0.2,No violations,8.0.1,No violations
npm,import-fresh,3.3.0,3.3.0,No,3.2.2,No violations,3.2.1,No violations,3.2.0,No violations
npm,jest-docblock,27.5.1,29.7.0,No,29.6.3,No violations,29.4.3,No violations,29.4.2,No violations
npm,pretty-format,28.1.3,29.7.0,No,29.6.3,No violations,29.6.2,No violations,29.6.1,No violations
